Actual GHI,Predicted GHI,Difference
364.8905,319.68958,45.200924804687475
359.2497,304.1174,55.13229887695314
168.509,160.83896,7.670041259765611
40.3058,87.94319,-47.637391528320315
326.3150999999999,352.0103,-25.695214941406334
4.2227,71.697136,-67.47443592529297
110.9307,115.34755,-4.416849438476561
147.4258,125.16031,22.265491162109385
573.281,509.8084,63.4725893554687
75.6818,124.92413,-49.242333300781254
0.1093,65.99886,-65.88956322021484
158.387,125.421265,32.9657353515625
132.6395,156.62997,-23.990474365234377
79.9544,139.93124,-59.97684389648437
82.1772,141.5832,-59.40600617675781
8.8361,75.92439,-67.08829270019531
85.0358,131.7309,-46.695095996093755
211.5095,156.52827,54.98122546386719
39.09519999999999,86.5988,-47.503600659179696
100.40689999999998,132.27563,-31.86873476562502
171.5557,155.4943,16.061406787109377
591.9228,497.68027,94.24253266601568
91.9075,129.79135,-37.883851318359376
458.4501,423.67136,34.778743798828145
594.4355,490.39093,104.0445698242188
216.7486,199.11867,17.629932397460948
247.379,237.26851,10.110491088867178
318.0191,342.69586,-24.67676181640627
327.368,292.23965,35.12834545898437
119.9388,131.6214,-11.68259892578125
460.5101,444.86603,15.644072167968773
239.4442,219.99985,19.44435258789062
322.5562,305.06915,17.48704716796874
195.4772,186.56223,8.914974658203136
582.5994,499.626,82.97339291992182
473.7653000000001,463.0354,10.729899609375082
110.1067,125.39038,-15.283680859374996
297.0987,345.72818,-48.62947993164062
593.2452,511.5106,81.73461040039058
121.7648,129.72838,-7.963578295898444
104.12,108.67045,-4.550448303222652
5.1586,75.672035,-70.51343521728515
201.4588,172.41867,29.04012934570312
465.332,416.015,49.316985351562494
114.1097,119.43567,-5.325968945312496
543.0423,503.4949,39.54739643554683
242.5367,235.7059,6.830797900390621
0.0277,52.01055,-51.982851452636716
128.0618,133.51584,-5.45403862304687
478.75,455.78986,22.96014404296875
0.029700000000000004,78.726006,-78.69630555419921
4.7721,68.58309,-63.81099173583984
519.0242,495.54446,23.479735888671826
146.9832,131.94405,15.039153979492198
234.8206,218.32,16.500592675781263
511.9643,478.75262,33.21167548828123
126.4646,135.89886,-9.434264746093746
316.1626,289.61493,26.547670800781248
273.5893,230.96559,42.62370856933592
131.4697,135.82535,-4.355647900390636
0.4909,71.839134,-71.3482342163086
213.4983,145.15408,68.34421674804688
416.9296,402.79422,14.135380029296869
498.1546,464.76712,33.38747963867189
460.9373,411.63217,49.30512836914062
279.0419,262.3181,16.723784765625
14.182,76.63192,-62.44991986083984
348.8225,358.63116,-9.808664550781259
342.2915,302.4842,39.807308105468735
104.0691,129.88326,-25.814155004882807
393.2829,350.55707,42.725832128906234
510.1687999999999,467.19968,42.969123486328044
310.2369,292.27893,17.95796933593749
2.6307,72.66302,-70.03231727294921
19.6142,78.89698,-59.282780285644535
219.5613,210.03854,9.522756298828114
325.9387,303.8664,22.072305957031233
172.334,149.00821,23.325790771484378
392.0876,392.26978,-0.182175390624991
41.9029,90.00158,-48.098679284667966
225.2937,255.27444,-29.980744580078124
0.4952,72.75552,-72.26032368164063
0.0081,52.09743,-52.08933118286133
80.8293,104.45206,-23.62275688476562
